Order_ID,Order_Date,Ship_Date,Ship_Mode,Order_Priority,Customer_ID,Customer_Name,Segment,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Sales,Profit,Payment_Method,Returned
ORD-2024-93810,2025-03-30,2025-03-31,Standard Class,High,CUST-5012,Whitney Harrison,Consumer,Walterstad,Washington,35389,South,PROD-TEC-2458591,Technology,Phones,Child Phones,416.74,10,0.0,4167.4,1588.87,PayPal,No
ORD-2004-88907,2026-01-02,2026-01-03,Second Class,Critical,CUST-4611,Alexandra Carter,Corporate,Kelleytown,Pennsylvania,75184,East,PROD-FUR-8090293,Furniture,Chairs,There Chairs,146.16,6,0.05,833.11,139.05,Wire Transfer,No
ORD-2001-22156,2025-10-25,2025-10-29,Standard Class,High,CUST-6635,Sara Nixon,Home Office,Thompsonchester,Oklahoma,25769,East,PROD-FUR-9996414,Furniture,Furnishings,Standard Furnishings,486.83,2,0.2,778.93,179.39,Wire Transfer,No
ORD-1980-57400,2023-08-30,2023-09-04,Second Class,Low,CUST-1750,Jordan Brown,Home Office,Port Sophiatown,Indiana,95889,South,PROD-OFF-4905582,Office Supplies,Labels,Explain Labels,59.49,14,0.1,749.57,174.33,Wire Transfer,No
ORD-2014-58520,2025-08-12,2025-08-15,Second Class,High,CUST-2169,Kayla Jenkins,Home Office,South Colin,Massachusetts,52646,South,PROD-TEC-3741438,Technology,Accessories,Today Accessories,395.93,8,0.3,2217.21,177.62,Wire Transfer,Yes
ORD-2009-40021,2022-08-20,2022-08-27,Standard Class,High,CUST-7572,Pamela Tucker,Corporate,Michaelfort,Michigan,11804,North,PROD-FUR-4567281,Furniture,Tables,Even Tables,254.62,11,0.2,2240.66,480.13,PayPal,No
ORD-2018-83579,2025-06-24,2025-06-29,First Class,Critical,CUST-7543,Christopher Gardner,Corporate,Kellyton,Arkansas,30080,South,PROD-FUR-2525206,Furniture,Furnishings,Building Furnishings,33.09,13,0.0,430.17,158.92,PayPal,No
ORD-1980-88172,2023-03-15,2023-03-16,Same Day,Critical,CUST-8668,William Johns,Home Office,New Christopher,South Dakota,31858,East,PROD-TEC-2921859,Technology,Phones,Support Phones,643.55,11,0.1,6371.15,1035.53,Wire Transfer,No
ORD-2019-48469,2024-07-25,2024-07-29,Second Class,Critical,CUST-1053,Michelle Adams,Home Office,Chambersfort,Nevada,20674,East,PROD-TEC-9517485,Technology,Accessories,If Accessories,262.14,15,0.1,3538.89,517.72,PayPal,No
ORD-1991-59009,2025-11-27,2025-12-04,Second Class,Low,CUST-6310,Miguel Zuniga,Corporate,South Edwardborough,Delaware,08251,North,PROD-FUR-6159230,Furniture,Tables,Care Tables,38.38,4,0.3,107.46,-13.72,Credit Card,No
ORD-2021-19071,2025-05-13,2025-05-20,Second Class,Medium,CUST-8787,Emily Lewis,Home Office,Robbinsville,Arkansas,55529,South,PROD-OFF-8099076,Office Supplies,Appliances,He Appliances,465.17,4,0.05,1767.65,385.92,Cash,No
ORD-2022-67422,2024-12-14,2024-12-19,Same Day,Low,CUST-5061,Joanna Mccormick,Consumer,East Paulbury,South Dakota,91065,North,PROD-OFF-4860684,Office Supplies,Labels,Current Labels,117.91,10,0.0,1179.1,304.72,Credit Card,No
ORD-1975-18834,2022-09-02,2022-09-03,First Class,Low,CUST-9423,Clifford Blair,Consumer,New Bonnieborough,South Dakota,81573,East,PROD-TEC-4594297,Technology,Machines,Child Machines,274.83,9,0.3,1731.43,-37.7,PayPal,No
ORD-1980-63354,2025-09-02,2025-09-04,Standard Class,Low,CUST-8062,Bryan Wright,Corporate,West Matthew,Colorado,23962,West,PROD-OFF-1908841,Office Supplies,Binders,Light Binders,330.19,11,0.0,3632.09,1408.81,Wire Transfer,No
ORD-1987-42591,2024-10-22,2024-10-24,Second Class,Critical,CUST-3296,Chris Anderson,Corporate,Stoutland,Virginia,95062,South,PROD-OFF-5191056,Office Supplies,Binders,Safe Binders,462.4,14,0.2,5178.88,248.56,Credit Card,Yes
ORD-2015-95477,2024-03-10,2024-03-15,Standard Class,Low,CUST-4872,Sabrina Andersen,Consumer,West Danielleside,Kentucky,88971,West,PROD-OFF-4586084,Office Supplies,Binders,Measure Binders,206.51,14,0.0,2891.14,1061.26,Credit Card,No
ORD-1993-44760,2024-08-30,2024-09-06,Same Day,High,CUST-7930,Bobby Roberts,Home Office,West Lisaborough,Colorado,31075,West,PROD-FUR-5977931,Furniture,Chairs,Hand Chairs,484.67,4,0.3,1357.08,-91.4,Credit Card,No
ORD-1970-17492,2024-09-03,2024-09-04,Same Day,Medium,CUST-1931,James Barry,Home Office,Kellyhaven,New Jersey,43894,North,PROD-FUR-2140194,Furniture,Bookcases,Time Bookcases,432.29,11,0.2,3804.15,837.02,PayPal,No
ORD-1999-87924,2024-10-31,2024-11-01,Standard Class,Critical,CUST-9565,Michael Wilson,Corporate,Bonniebury,Vermont,87575,East,PROD-FUR-5004485,Furniture,Tables,Process Tables,203.94,5,0.1,917.73,212.66,Credit Card,Yes
ORD-2001-70068,2024-02-15,2024-02-20,Standard Class,Low,CUST-9808,Kelly Smith,Consumer,North Sherrimouth,Utah,50701,East,PROD-FUR-2154126,Furniture,Tables,Understand Tables,129.7,15,0.1,1750.95,522.27,Wire Transfer,No
ORD-2000-95717,2024-04-16,2024-04-21,Standard Class,High,CUST-2697,Eric Flores,Consumer,Bryanshire,Pennsylvania,52744,East,PROD-FUR-3607983,Furniture,Bookcases,Shake Bookcases,148.06,5,0.05,703.28,152.86,PayPal,No
ORD-1988-76244,2022-09-20,2022-09-24,First Class,Low,CUST-2512,Marc Brown,Home Office,West Brandonshire,Arizona,46976,West,PROD-OFF-1059486,Office Supplies,Labels,Surface Labels,387.85,6,0.1,2094.39,622.93,Cash,No
